list
Others
Herpesviridae
Iridoviridae
Redondoviridae
Mesyanzhinovviridae
Phycodnaviridae
Herelleviridae
Schitoviridae
Kyanoviridae
Suoliviridae
Zobellviridae
Casjensviridae
Peduoviridae
Autographiviridae
Steigviridae
Nenyaviridae
Parvoviridae
Bacilladnaviridae
Straboviridae
Vilyaviridae
Poxviridae
Smacoviridae
Inoviridae
Geminiviridae
Pleolipoviridae
Adenoviridae
Circoviridae
Microviridae
Fiersviridae
Asfarviridae
Genomoviridae
Unclassified
